Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Craig Bowden,56,72.86,2010,270,62.64,29.53,58.31,72.229,79,0,0,-0.404,-1.104,-0.253,-0.458,0.013,"140,935"
Heath Slocum,97,72.42,2010,278.9,69.59,29.62,62.87,70.673,722,0,3,-0.259,0.58,0.156,0.546,0.134,"2,387,687"
David Toms,86,71.88,2010,281.3,67.58,28.89,61.29,70.337,748,0,1,0.274,0.693,0.254,0.122,0.058,"1,590,998"
Richard Johnson,90,70.92,2010,277.3,68.5,29.6,59.35,71.156,323,0,2,0.188,-0.293,-0.388,0.006,-0.104,"678,515"
Paul Goydos,78,70.58,2010,273.6,65.95,29.08,55.02,71.532,597,0,3,-0.158,-0.331,-0.257,0.244,-0.162,"1,121,250"
Jerry Kelly,99,70.5,2010,279,67.49,29.63,57.91,70.954,493,0,1,-0.444,0.209,0.051,0.246,0.361,"1,136,898"
Garrett Willis,82,70.44,2010,280.2,69.87,29.65,55.32,71.159,517,0,1,-0.137,-0.053,-0.155,0.261,-0.022,"871,763"
Jeff Quinney,91,70.34,2010,273.3,65.45,28.66,59.7,70.851,378,0,1,0.388,-0.039,-0.402,0.207,-0.232,"605,866"
Alex Cejka,81,70.31,2010,277.4,66.6,29.7,56.42,71.219,489,0,4,-0.466,-0.073,-0.146,0.464,0.077,"904,253"
Billy Mayfair,78,70.29,2010,284,69.68,30.5,55.5,71.426,314,0,2,-1.008,-0.467,0.053,0.424,0.067,"642,231"
Chris DiMarco,88,70.13,2010,279,67.39,29.15,61.87,70.983,286,0,1,-0.058,0.052,-0.244,0.196,0.163,"409,205"
Ben Curtis,78,70.07,2010,275.5,68.02,29.6,59.69,70.871,416,0,1,0.229,0.234,-0.159,0.054,0.11,"812,136"
Jay Williamson,76,69.87,2010,285.1,68.95,29.72,59.74,71.29,280,0,1,-0.174,-0.221,0.125,0.028,-0.219,"404,498"
Skip Kendall,58,69.63,2010,279.5,62.56,29.02,57.57,71.64,159,0,1,0.333,-0.832,-0.486,-0.651,-0.031,"304,439"
Justin Leonard,89,69.46,2010,277.8,65.09,29.02,57.32,70.419,556,0,1,0.181,0.539,-0.184,0.299,0.242,"1,026,445"
John Mallinger,78,69.34,2010,280.4,67.11,29.33,58.67,71.27,342,0,1,0.051,-0.175,-0.131,-0.323,0.226,"684,687"
Jason Dufner,87,69.24,2010,281.9,66.67,29.82,58.24,71.018,617,0,2,-0.6,0.006,0.435,0.176,-0.006,"1,121,695"
Chad Campbell,94,69.01,2010,285.1,69.06,29.54,59.46,70.629,551,0,2,-0.106,0.645,0.102,0.606,0.042,"971,154"
Mark Wilson,87,68.85,2010,280.6,70.28,29.71,62.16,71.098,343,0,1,0.139,0.009,-0.196,-0.292,0.354,"789,681"
Chris Riley,73,68.7,2010,278.3,67.33,29,64.47,70.345,512,0,3,0.185,0.538,0.164,-0.177,0.364,"1,001,582"
Cliff Kresge,50,68.59,2010,283.2,66.67,29.76,59.06,71.417,91,0,0,-0.573,-0.488,-0.191,0.41,-0.136,"199,584"
Tom Gillis,97,68.54,2010,288.7,65.98,28.75,60.27,70.514,554,0,2,0.359,0.616,0.348,-0.297,0.21,"1,166,146"
Brian Davis,101,68.35,2010,278.9,63.09,28.87,61.85,71.376,781,0,2,-0.249,-0.181,-0.007,0.089,-0.015,"1,640,516"
Rocco Mediate,71,68.27,2010,278.1,69.32,30.28,56.96,71.341,150,0,0,-0.543,-0.164,-0.082,0.568,-0.107,"1,138,067"
Vaughn Taylor,87,68.26,2010,284.4,68.33,29.39,57.46,70.794,824,0,5,-0.056,0.387,0.074,0.333,0.039,"1,838,861"
Scott Verplank,74,68.16,2010,278.6,63.85,28.75,59.37,70.838,786,0,3,0.034,0.36,-0.12,0.456,-0.013,"1,653,190"
Steve Elkington,74,68.01,2010,289.2,68.71,29.09,64.23,70.318,571,0,3,0.328,0.557,0.368,-0.191,0.049,"955,084"
Ryan Moore,80,67.99,2010,289.7,66.67,29.05,60.76,70.623,893,0,4,0.299,0.687,0.45,0.026,-0.091,"2,374,823"
Kenny Perry,69,67.99,2010,290.6,69.04,29.97,61.74,70.841,555,0,1,-0.244,0.401,0.605,0.151,-0.111,"968,811"
Jeff Maggert,76,67.55,2010,279.1,66.75,29.62,55.77,71.445,463,0,2,-0.357,-0.741,0.123,-0.06,-0.447,"801,579"
Tim Petrovic,105,67.37,2010,278.7,66.35,29.23,60.38,70.992,532,0,2,-0.006,0.249,0.029,0.031,0.195,"1,028,960"
Dean Wilson,54,67.37,2010,281.6,68.98,28.79,67.16,70.223,434,0,1,0.781,0.736,-0.341,0.158,0.139,"832,640"
Scott McCarron,90,67.36,2010,288.6,65.8,28.98,61.19,70.94,354,0,1,0.507,0.155,0.093,-0.529,0.079,"642,543"
Brent Delahoussaye,57,67.28,2010,275.6,66.78,29.69,54.43,72.032,43,0,0,0.231,-0.811,-0.467,-0.114,-0.465,"69,708"
Aron Price,70,67.23,2010,284.6,70.49,29.69,58.53,70.856,358,0,2,0.017,0.259,-0.1,0.291,0.051,"713,737"
John Senden,103,67.22,2010,290.2,72.49,30.08,57.65,70.618,467,0,0,-0.139,0.608,0.372,0.455,-0.078,"1,274,058"
Boo Weekley,88,67.14,2010,291.9,70.07,29.95,60.32,70.851,526,0,3,-0.376,0.183,0.662,0.058,-0.162,"872,729"
Tom Pernice Jr.,74,66.95,2010,280,69.78,29.48,59.61,70.757,331,0,1,-0.165,0.121,-0.212,0.225,0.271,"662,730"
Kevin Sutherland,86,66.89,2010,287.9,71.96,29.9,62.44,70.604,499,0,1,-0.094,0.468,0.201,0.054,0.303,"818,682"
Kris Blanks,91,66.87,2010,286.4,71.15,30.6,54.06,71.371,554,0,3,-0.568,-0.161,0.201,0.417,-0.21,"1,109,178"
Blake Adams,84,66.84,2010,291.3,66.73,29.2,57.43,71.077,514,0,2,0.196,-0.233,0.292,-0.726,0.002,"963,593"
John Merrick,109,66.71,2010,291.4,70.24,29.94,56.93,71.102,449,0,1,-0.126,0.019,0.217,0.01,-0.084,"658,815"
Woody Austin,93,66.48,2010,281.1,67.92,29.55,58.56,71.121,394,0,3,-0.063,0.034,-0.01,0.048,0.056,"727,352"
