Player,EVENTS_PLAYED,POINTS,NUMBER_OF_WINS,NUMBER_OF_TOP_Tens,SG_PUTTING_PER_ROUND,AVG_Driving_DISTANCE,SG_PER_ROUND,SG:OTT,SG:APR,SG:ARG,SG_PUTTING_PER_ROUND,AVG_SCORE,HOLES_PLAYED,AGE,
Brian Gay,29,910,0,6,0.48,282.8,0.103,-0.136,-0.019,0.257,0.48,70.28,1818,46,
Brian Harman,24,1116,0,8,0.536,292.6,0.038,0.17,-0.029,-0.103,0.536,70.536,1620,31,
Brian Stuard,32,654,0,3,0.148,278.4,-0.085,-0.236,0.128,0.022,0.148,71.038,1746,35,
Bronson Burgoon,24,718,0,2,0.107,302.8,0.373,0.309,0.371,-0.307,0.107,70.701,1242,31,
Bud Cauley,17,405,0,2,0.367,295.4,0.094,-0.113,-0.032,0.239,0.367,71.356,954,25,
Byeong Hun An,23,1061,0,4,-0.177,308.6,1.188,0.477,0.508,0.202,-0.177,70.19,1512,28,
C.T. Pan,29,1170,0,2,-0.059,292.6,0.58,0.228,0.287,0.065,-0.059,70.457,1764,26,
Cameron Percy,16,191,0,2,-0.205,295.6,0.49,0.241,0.039,0.21,-0.205,70.909,900,44,
Cameron Smith,22,2231,0,7,0.317,298.8,0.198,-0.028,-0.01,0.236,0.317,70.525,1332,25,
Cameron Tringale,26,88,0,0,-0.104,289.3,-0.915,-1.351,0.348,0.088,-0.104,72.146,1134,33,
Chad Campbell,28,361,0,2,-0.454,286.5,-0.029,-0.042,-0.01,0.023,-0.454,71.683,1422,38,
Charl Schwartzel,20,528,0,3,0.048,299.5,-0.205,-0.075,-0.092,-0.038,0.048,71.349,1044,34,
Charles Howell III,27,905,0,4,0.109,300.8,0.668,0.355,0.209,0.103,0.109,70.219,1800,39,
Charley Hoffman,25,689,0,0,0.06,299.1,0.288,0.231,0.202,-0.145,0.06,70.521,1440,41,
Chesson Hadley,29,1144,0,7,0.271,300.1,0.751,0.148,0.701,-0.099,0.271,70.311,1782,31,
Chez Reavie,27,1184,0,3,0.195,287.3,0.561,0.236,0.483,-0.158,0.195,70.432,1548,36,
